Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20250406 07:21:00,83138.59000000,83138.60000000,83088.00000000,83109.52000000,,,,,,
20250406 07:22:00,83109.52000000,83109.53000000,83088.76000000,83102.19000000,,,,,,
20250406 07:23:00,83102.20000000,83119.85000000,83102.19000000,83119.84000000,,,,,,
20250406 07:24:00,83119.85000000,83131.77000000,83119.84000000,83131.76000000,,,,,,
20250406 07:25:00,83131.76000000,83131.77000000,83108.98000000,83128.18000000,83118.29800000,,,,,
20250406 07:26:00,83128.19000000,83128.19000000,83090.07000000,83090.08000000,83114.41000000,,,,,
20250406 07:27:00,83090.07000000,83099.99000000,83090.07000000,83099.99000000,83113.97000000,,,,,
20250406 07:28:00,83099.99000000,83100.00000000,83090.62000000,83090.62000000,83108.12600000,,,,,
20250406 07:29:00,83090.63000000,83090.63000000,83074.58000000,83074.59000000,83096.69200000,,,,,
20250406 07:30:00,83074.58000000,83082.00000000,83056.52000000,83056.52000000,83082.36000000,83100.32900000,,,,
20250406 07:31:00,83056.53000000,83069.89000000,83056.52000000,83069.88000000,83078.32000000,83096.36500000,,,,
20250406 07:32:00,83069.89000000,83076.83000000,83069.88000000,83076.82000000,83073.68600000,83093.82800000,,,,
20250406 07:33:00,83076.83000000,83076.83000000,83056.52000000,83056.52000000,83066.86600000,83087.49600000,,,,
20250406 07:34:00,83056.52000000,83056.53000000,83056.52000000,83056.52000000,83063.25200000,83079.97200000,,34.643022716736,,
20250406 07:35:00,83056.53000000,83064.83000000,83040.65000000,83054.53000000,83062.85400000,83072.60700000,,34.24806645660145,,
20250406 07:36:00,83054.53000000,83076.00000000,83049.79000000,83076.00000000,83064.07800000,83071.19900000,,43.06004557740156,,
20250406 07:37:00,83076.00000000,83076.02000000,83056.01000000,83056.01000000,83059.91600000,83066.80100000,,33.293200020939835,,
20250406 07:38:00,83056.02000000,83100.00000000,83056.01000000,83100.00000000,83068.61200000,83067.73900000,,42.88211564321115,,
20250406 07:39:00,83100.00000000,83120.00000000,83099.99000000,83108.73000000,83079.05400000,83071.15300000,,45.73932092004472,,
20250406 07:40:00,83108.73000000,83120.00000000,83104.21000000,83119.99000000,83092.14600000,83077.50000000,83088.91450000,57.42515267365043,,
20250406 07:41:00,83120.00000000,83120.00000000,83101.75000000,83101.75000000,83097.29600000,83080.68700000,83088.52600000,50.4195670830539,,
20250406 07:42:00,83101.76000000,83101.76000000,83077.31000000,83094.57000000,83105.00800000,83082.46200000,83088.14500000,50.951577933030904,,
20250406 07:43:00,83094.58000000,83094.58000000,83075.98000000,83075.99000000,83100.20600000,83084.40900000,83085.95250000,50.33317467872647,,
20250406 07:44:00,83075.99000000,83087.67000000,83075.99000000,83087.67000000,83095.99400000,83087.52400000,83083.74800000,57.64567277011216,,
20250406 07:45:00,83087.66000000,83090.00000000,83083.72000000,83089.99000000,83089.99400000,83091.07000000,83081.83850000,55.21876784138623,,
20250406 07:46:00,83090.00000000,83090.00000000,83089.99000000,83090.00000000,83087.64400000,83092.47000000,83081.83450000,53.547970281035745,-1.8107590906438418,-3.689333894445268
20250406 07:47:00,83090.00000000,83130.00000000,83089.99000000,83097.64000000,83088.25800000,83096.63300000,83081.71700000,61.87889993066543,-0.9677506313601043,-3.1450172418282354
20250406 07:48:00,83097.64000000,83133.89000000,83097.63000000,83112.89000000,83095.63800000,83097.92200000,83082.83050000,64.96575160622058,0.9202787955000531,-2.331958034362578
20250406 07:49:00,83112.90000000,83126.00000000,83112.89000000,83126.00000000,83103.30400000,83099.64900000,83085.40100000,67.91677112058085,3.4348285880987532,-1.1786007098703115
20250406 07:50:00,83125.99000000,83150.67000000,83120.88000000,83120.89000000,83109.48400000,83099.73900000,83088.61950000,62.25899830684273,4.958138783578761,0.04874718881950302
20250406 07:51:00,83120.89000000,83120.89000000,83099.80000000,83106.48000000,83112.78000000,83100.21200000,83090.44950000,64.21610050137978,4.945596756864688,1.0281171024285403
20250406 07:52:00,83106.47000000,83106.48000000,83106.47000000,83106.48000000,83114.54800000,83101.40300000,83091.93250000,52.4266027561398,4.879410305657075,1.798375743074247
20250406 07:53:00,83106.48000000,83106.48000000,83103.12000000,83103.12000000,83112.59400000,83104.11600000,83094.26250000,47.81115879828319,4.503914820452337,2.339483558549865
20250406 07:54:00,83103.13000000,83107.00000000,83103.12000000,83106.99000000,83108.79200000,83106.04800000,83096.78600000,44.6174229877447,4.467114485087222,2.7650097438573367
20250406 07:55:00,83107.00000000,83107.00000000,83083.00000000,83083.00000000,83101.21400000,83105.34900000,83098.20950000,42.58951861512979,2.4736428322066786,2.706736361527205
20250406 07:56:00,83083.01000000,83083.01000000,83054.00000000,83054.00000000,83090.71800000,83101.74900000,83097.10950000,36.32441178453364,-1.4297739081812324,1.8794343075855173
20250406 07:57:00,83054.01000000,83054.01000000,83026.47000000,83033.99000000,83076.22000000,83095.38400000,83096.00850000,35.97756410256498,-6.067951993565657,0.28995704735528216
20250406 07:58:00,83034.00000000,83034.00000000,83024.96000000,83024.96000000,83060.58800000,83086.59100000,83092.25650000,28.686017265996398,-10.353043633178459,-1.838643088751466
20250406 07:59:00,83024.97000000,83024.97000000,83024.96000000,83024.96000000,83044.18200000,83076.48700000,83088.06800000,27.543338628359976,-13.592325759571395,-4.189379622915451
20250406 08:00:00,83024.97000000,83038.68000000,82970.85000000,82970.86000000,83021.75400000,83061.48400000,83080.61150000,20.04726468222347,-20.29099607784883,-7.409702913902127
20250406 08:01:00,82970.86000000,82995.19000000,82928.35000000,82951.99000000,83001.35200000,83046.03500000,83073.12350000,15.339584027418084,-26.813304776485893,-11.29042328641888
20250406 08:02:00,82951.99000000,82980.00000000,82950.69000000,82977.75000000,82990.10400000,83033.16200000,83067.28250000,19.37267700118001,-29.562882192491088,-14.944915067633323
20250406 08:03:00,82977.75000000,82977.76000000,82932.19000000,82932.20000000,82971.55200000,83016.07000000,83060.09300000,11.708685687190084,-35.01382880397432,-18.958697814901523
20250406 08:04:00,82932.20000000,82940.97000000,82929.78000000,82940.96000000,82954.75200000,82999.46700000,83052.75750000,14.954618051502024,-38.186692060218775,-22.804296663964973
20250406 08:05:00,82940.97000000,82940.97000000,82926.08000000,82934.24000000,82947.42800000,82984.59100000,83044.97000000,15.416432415071526,-40.7734459839412,-26.39812652796022
20250406 08:06:00,82934.24000000,82952.28000000,82934.24000000,82952.28000000,82947.48600000,82974.41900000,83038.08400000,21.13008312738897,-40.89636206680734,-29.297773635729644
20250406 08:07:00,82952.28000000,82954.89000000,82900.64000000,82920.00000000,82935.93600000,82963.02000000,83029.20200000,19.065477397123317,-43.101651168006356,-32.05854914218499
20250406 08:08:00,82919.99000000,82924.86000000,82900.00000000,82900.01000000,82929.49800000,82950.52500000,83018.55800000,16.840756167893844,-45.932898741113604,-34.83341906197071
20250406 08:09:00,82900.00000000,82900.01000000,82896.55000000,82899.98000000,82921.30200000,82938.02700000,83007.25700000,18.241132782674313,-47.6300539765507,-37.39274604488671
20250406 08:10:00,82899.98000000,82905.36000000,82899.98000000,82902.00000000,82914.85400000,82931.14100000,82996.31250000,20.89906570684677,-48.25580176527728,-39.565357188964825
20250406 08:11:00,82902.01000000,82902.01000000,82880.02000000,82892.41000000,82902.88000000,82925.18300000,82985.60900000,21.76756799872402,-48.96115058247233,-41.444515867666325
20250406 08:12:00,82892.41000000,82910.72000000,82892.41000000,82905.56000000,82899.99200000,82917.96400000,82975.56300000,26.57537471552844,-47.90680962064653,-42.736974618262366
20250406 08:13:00,82905.56000000,82926.46000000,82895.48000000,82895.48000000,82899.08600000,82914.29200000,82965.18100000,25.5642787046106,-47.33891502524784,-43.65736269965946
20250406 08:14:00,82895.47000000,82895.48000000,82876.02000000,82876.03000000,82894.29600000,82907.79900000,82953.63300000,29.410742976246397,-47.90607549864217,-44.507105259456
20250406 08:15:00,82876.03000000,82896.99000000,82858.06000000,82868.67000000,82887.63000000,82901.24200000,82942.91650000,30.95804004022135,-48.3916163196991,-45.284007471504616
20250406 08:16:00,82868.67000000,82905.55000000,82868.66000000,82905.54000000,82890.25600000,82896.56800000,82935.49350000,34.29466266475127,-45.2793578026467,-45.283077537733035
20250406 08:17:00,82905.55000000,82914.56000000,82905.55000000,82912.00000000,82891.54400000,82895.76800000,82929.39400000,44.70649895178281,-41.80964690976543,-44.588391412139515
20250406 08:18:00,82912.01000000,82912.01000000,82903.19000000,82906.55000000,82893.75800000,82896.42200000,82923.47350000,40.82351058722993,-39.04950707164244,-43.4806145440401
20250406 08:19:00,82906.56000000,82906.56000000,82897.25000000,82897.25000000,82898.00200000,82896.14900000,82917.08800000,40.26937444099366,-37.18387606374745,-42.22126684798157
20250406 08:20:00,82897.26000000,82916.67000000,82897.25000000,82916.66000000,82907.60000000,82897.61500000,82914.37800000,40.69682407020609,-33.75007540441584,-40.52702855926842
20250406 08:21:00,82916.66000000,82916.66000000,82887.10000000,82887.11000000,82903.91400000,82897.08500000,82911.13400000,41.28557045201677,-33.03242445588694,-39.02810773859213
20250406 08:22:00,82887.11000000,82902.74000000,82880.01000000,82880.01000000,82897.51600000,82894.53000000,82906.24700000,44.31236491866704,-32.660106197567075,-37.754507430387115
20250406 08:23:00,82880.02000000,82880.02000000,82866.00000000,82866.01000000,82889.40800000,82891.58300000,82902.93750000,41.05063491227153,-33.11301803281822,-36.82620955087334
20250406 08:24:00,82866.00000000,82866.01000000,82866.00000000,82866.00000000,82883.15800000,82890.58000000,82899.18950000,40.41431462349552,-33.09130487772927,-36.07922861624452
20250406 08:25:00,82866.00000000,82866.01000000,82842.00000000,82844.01000000,82868.62800000,82888.11400000,82894.67800000,37.910880207811246,-34.45137229323154,-35.75365735164193
20250406 08:26:00,82844.01000000,82865.58000000,82826.00000000,82826.01000000,82856.40800000,82880.16100000,82888.36450000,30.60039994147253,-36.56024138179782,-35.91497415767311
